epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,110.549,0.28772,0.31382,0.85346,0.95109,0.95455,0.95309,0.89958,0.439,0.25304,0.87028,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,112.226,0.30146,0.32234,0.84896,0.95086,0.95455,0.95307,0.90195,0.42892,0.246,0.85687,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,113.908,0.29825,0.31114,0.86981,0.99712,1,0.995,0.89922,0.39537,0.24464,0.8416,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,115.583,0.2941,0.32099,0.85367,0.99722,1,0.995,0.89791,0.39206,0.24823,0.8361,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,117.261,0.30026,0.31394,0.8532,0.99741,1,0.995,0.9023,0.39517,0.24196,0.84926,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,118.946,0.29205,0.29664,0.85653,0.99752,1,0.995,0.89,0.41879,0.23222,0.86519,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,120.626,0.28227,0.28642,0.84736,0.99744,1,0.995,0.88397,0.41081,0.24896,0.85598,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,122.302,0.30747,0.32053,0.87518,0.99727,1,0.995,0.90649,0.4,0.24645,0.85237,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,123.978,0.31561,0.31271,0.86689,0.99642,1,0.995,0.9029,0.38725,0.23176,0.84852,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,125.663,0.27183,0.29256,0.83606,0.99563,1,0.995,0.89947,0.38465,0.23995,0.85164,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,127.341,0.28648,0.28862,0.84421,0.99517,1,0.995,0.90142,0.3933,0.24086,0.86037,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,129.001,0.27348,0.28848,0.86008,0.99481,1,0.995,0.9069,0.392,0.23619,0.86152,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,130.681,0.26626,0.26946,0.85411,0.99532,1,0.995,0.90013,0.41158,0.24285,0.86572,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,132.36,0.31006,0.30195,0.85434,0.99453,1,0.995,0.8991,0.4219,0.24593,0.87038,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,134.036,0.24551,0.26418,0.8463,0.99337,1,0.995,0.89656,0.43434,0.24925,0.87639,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,135.716,0.26994,0.27087,0.864,0.99201,1,0.995,0.88722,0.43103,0.25193,0.87585,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,137.391,0.28186,0.28226,0.85307,0.99284,1,0.995,0.88825,0.42962,0.25062,0.8752,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,139.064,0.28044,0.283,0.846,0.99457,1,0.995,0.90334,0.42337,0.24868,0.87035,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,140.748,0.27584,0.27606,0.8619,0.99542,1,0.995,0.90236,0.42121,0.24428,0.86807,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,142.427,0.27055,0.25852,0.86816,0.99558,1,0.995,0.90394,0.42924,0.23194,0.86793,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,144.104,0.27241,0.28096,0.84214,0.99554,1,0.995,0.90696,0.42332,0.21813,0.86133,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,145.792,0.24965,0.24742,0.83842,0.99519,1,0.995,0.90742,0.41546,0.21154,0.85918,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,147.466,0.25287,0.25437,0.8369,0.99517,1,0.995,0.92247,0.41611,0.21311,0.8588,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,149.134,0.26,0.26521,0.84902,0.99474,1,0.995,0.91369,0.41408,0.22242,0.85647,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,150.81,0.26187,0.26719,0.84922,0.9951,1,0.995,0.90886,0.4103,0.22001,0.8553,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,152.488,0.25561,0.25464,0.85692,0.99522,1,0.995,0.90301,0.41462,0.23214,0.85847,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,154.167,0.28514,0.26889,0.83991,0.99563,1,0.995,0.90581,0.41144,0.23094,0.86007,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,157.738,0.19533,0.26872,0.78389,0.9941,1,0.995,0.90453,0.40644,0.2432,0.86099,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,159.445,0.18264,0.24024,0.79825,0.99281,1,0.995,0.90192,0.41175,0.25513,0.8625,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,161.11,0.18329,0.24836,0.79161,0.9936,1,0.995,0.89833,0.41456,0.2514,0.85972,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,162.774,0.19719,0.23605,0.78708,0.99425,1,0.995,0.89465,0.41483,0.24064,0.85902,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,164.438,0.18254,0.22814,0.80227,0.99479,1,0.995,0.89544,0.41141,0.23371,0.8614,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,166.099,0.17666,0.23517,0.76327,0.99516,1,0.995,0.90147,0.40268,0.22525,0.86287,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,167.758,0.1793,0.22899,0.78751,0.99462,1,0.995,0.90087,0.39716,0.21959,0.86213,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,169.417,0.17811,0.22701,0.78784,0.99421,1,0.995,0.90517,0.39195,0.22176,0.86251,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,171.079,0.17083,0.22035,0.7878,0.99422,1,0.995,0.90005,0.39254,0.22421,0.86257,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,172.748,0.18552,0.23676,0.78438,0.99367,1,0.995,0.90005,0.39176,0.22269,0.86169,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
